ebay_id,ebay_title,price,keeper_score
v1|168596600510|0,JOHN COLTRANE - COLTRANE (VINYL 2LP)  1972!!!  RARE!!!  PRESTIGE / FANTASY 24003,8.99,0.9923
v1|407129617581|0,"John Coltrane Quartet Ballads (Jazz LP, Impulse! 12"" Black Vinyl, A-32, Stereo)",29.98,0.9873
v1|128016763649|0,MAX ROACH Percussion Bitter Sweet IMPULSE LP mono Gatefold,23.98,0.9848
v1|128016189558|0,*GRAIL* John Coltrane Quartet CRESCENT Impulse Mono A-66 OG Van Gelder Pressing,399.75,0.9834
v1|206473301466|0,RARE! 1995 Strung Out/Blount Split 7” Vinyl Somnombulance,25.00,0.9816
v1|128016018058|0,Charles Mingus Mingus Ah Um LP Vinyl Record VG+,35.00,0.9796
v1|198556407921|0,Crazy World Arthur Brown S/T US Track LP 1968 British Horror Psych Rock FIRE,9.98,0.9781
v1|158165144714|0,"BRIAN ENO ""Ambient 4 (On Land)"" EG 1st US Press Collectors Audiophile MINT-",89.00,0.9694
v1|800479016356|0,Vinyl L.P. - T-REX / ELECTRIC WARRIOR,23.50,0.9681
v1|287512903958|0,The Red Garland Quintet Soul Junction LP OJC481 Coltrane Donald Byrd Prestige V+,51.72,0.9647
v1|267751336948|0,Velvet Underground - White Light/White Heat - 1968 Original Release - Vinyl,44.00,0.9633
v1|298569545525|0,Miles in Berlin by Miles Davis Vinyl LP (1981)  🎺  John Coltrane Live DVD 🎷 ,45.00,0.9607
v1|188761847805|0,"SYNERGY ""Sequencer"" CLEAR VINYL Electronic 1976 Avant-Garde LARRY FAST Prog",9.00,0.9602
v1|257669381183|0,Charles Mingus Pithecanthropus Erectus LP Vinyl Record Jazz MONO EX,21.99,0.9544
v1|128016061215|0,"John Coltrane Blue Train Vinyl Blue Note BLP 1577 12"" LP 33RPM",24.99,0.9521
v1|128016154416|0,Lonnie Smith Move Your Hand Vinyl LP 1996 Reissue Excellent Condition Blue Note,59.95,0.9447
v1|267751349184|0,GONG “SHAMAL” RARE NEAR MINT Original UK Import Pressing on Virgin Records  1975,50.00,0.9416
v1|168598600851|0,"Donald Byrd Royal Flush Vinyl Reissue 1977 Black b, Blue Note Records!",38.00,0.9410
v1|298567822804|0,"Ramones End of the Century Sire 1980 rock 12"" black vinyl LP SRK 6077",25.00,0.9391
v1|267751349391|0,GONG “EXPRESSO II” RARE NEAR MINT Original UK Import Pressing on Virgin Records,40.00,0.9361
v1|158165042349|0,Soul Makossa Lp Afrique On Mainstream - Vg++/ Vg++,29.99,0.9354
v1|168596807764|0,"OG 🔥MARILLION ""Misplaced Childhood"" PROMO Limited 1st US Press Hype OIS Prog",89.00,0.9350
v1|236992987757|0,"John Coltrane – A Love Supreme 	Impulse! , Stereo, Blue, Gatefold / 2021",24.99,0.9342
v1|128016761355|0,MAX ROACH Quintet Conversation LP JAZZLAND JLP 979 US 1963 US 1963 Booker Little,26.98,0.9320
v1|128016852937|0,1990 - PUBLIC ENEMY - FEAR OF A BLACK PLANET LP - DEF JAM ORIGINAL PRESSING,81.99,0.9280
v1|147489862190|0,"RARE Coltrane Lp ""OLE'"" Mono 1961 Vg+/Ex No Skips, Jumps  Laminate Cvr No Splits",199.00,0.9257
v1|168596807776|0,"🔥 RARE   KATE BUSH 4 LP/Single Job LOT 1st Press + ""Big Sky"" PROMO Top Shelf NM",159.00,0.9193
v1|168597278113|0,INSTANT FUNK - INSTANT FUNK V - SOUL FUNK RECORD LP SALSOUL,23.38,0.9173
v1|398261424915|0,INXS - Kick Vinyl LP - 1987 Atlantic – 81796-1,25.00,0.9148
v1|188758371092|0,"STOCKHAUSEN/KAGEL Zyklus,Transicion MAINSTREAM LP NM B833",12.00,0.9146
v1|257669380580|0,Joe Henderson Multiple  vinyl promo,175.00,0.9122
v1|336732343056|0,Tazinho Pleno LP Rare Private World Folk African 1986 New Bedford Massachusetts,26.99,0.9102
v1|137597456592|0,JOHN COLTRANE Soultrane Newbury Comics White Vinyl Prestige OJC Red Garland LP,39.99,0.9076
v1|137597456592|0,JOHN COLTRANE Soultrane Newbury Comics White Vinyl Prestige OJC Red Garland LP,39.99,0.9076
v1|358900683373|0,Pacific Drift LP Feelin’ Free MINT PROMO PROG PSYCH,80.00,0.9042
v1|227467343104|0,John Coltrane Soultrane LP 2021 Craft Recordings Prestige 7142 Jazz Vinyl,27.95,0.9023
v1|278257928124|0,"PHAROAH SANDERS LIVE AT THE EAST IMPULSE RECORDS LP 1972 JAZZ SAX SAXOPHONE 12""",47.50,0.9005
v1|267751348996|0,"GONG “ANGELS EGG (Radio Gnome Invisible, Part 2)” RARE NEAR MINT UK Import LP",150.00,0.8996
v1|307114724838|0,SONNY ROLLINS - PLAYS FOR BIRD PRESTIGE GREEN LABEL 1972 VAN GELDER VG+/VG+,19.99,0.8969
v1|257668303078|0,Godcaster - Long Haired Locusts [LP] VG+ 2020 Acid Rock Psych Art Avantegarde,12.99,0.8967
v1|377402338099|0,The Smiths - The Queen Is Dead - W1-25426 Club Edition Carrollton Pressing Vinyl,144.99,0.8919
v1|800476535202|0,Donald Byrd Best LP 1976 Blue Note BN-LA700-G Black Byrd Jazz Funk Mizell Vinyl,33.00,0.8907
v1|168597311587|0,"Silversun Pickups Pikul 12"" LP 33 RPM White/Clear Split Vinyl",48.00,0.8900
v1|377403349986|0,John Coltrane 3 LP Second Night in Tokyo - Japanese Press Alice Coltrane M-/M-,120.00,0.8869
v1|198556658043|0,Miles Davis E.S.P. Impex LP PLAYED ONCE,37.99,0.8851
v1|227467330540|0,Synthetiseur Les Plus Grands Themes-ELECTRONIC SYNTH-HAND CLEANED+TESTED NM,12.99,0.8838
v1|307114727106|0,Sonny Rollins - What's New? VINYL LP 1962 Mono RCA Victor DG VG/VG+,39.99,0.8826
v1|227467412071|0,Miles Davis Bitches Brew 2 Vinyl LP (73123),20.00,0.8823
v1|267751233866|0,ORIGINAL ESCALATORS LP SELF TITLED LP PRIVATE PRESS POWERPOP NEW WAVE INDIE ROCK,55.99,0.8821
v1|158165144768|0,"ROBERT FRIPP BRIAN ENO ""No Pussyfooting"" EG Audiophile Vinyl US Collectors MINT-",67.00,0.8818
v1|358898630293|0,Includes Legendary Performances by Leadbelly original 1970 release vinyl LP ,19.99,0.8781
v1|168596694783|0,T. Rex - Electric Warrior LP Reprise  RS 6466 1975 Pressing  Bang a Gong,34.99,0.8759
v1|278258909085|0,MARIAH CAREY Charmbracelet 2021 UME/DEF JAM 2LP Vinyl Record PLAY GRADED EX,20.00,0.8742
