ebay_id,ebay_title,price,tfidf_score
v1|318550383848|0,THE TODD RUNDGREN RADIO SHOW ~ VTG 1972 Bearsville White Label Promo Rock LP,9.99,0.2554
v1|236921667123|0,SUB POP SINGLES CLUB Vol.2 1998-2001 FOUR 7” SINGLE MIXED LOT,9.99,0.4111
v1|398162933251|0,SOBAIMEKU SOUNDS | Nigeria | Highlife | Dancefloor | Breaks | Afro LP HEAR,9.99,0.2783
v1|257571260282|0,"Associated TRANSCRIPTIONS rare Fats Waller  JAZZ  33 1/3 rpm E- 1935 # 260   11""",49.99,0.5189
v1|147421349007|0,"The Moody Blues ‎– A Question Of Balance Vinyl, LP 1970 Threshold ‎– THS 3",2.99,0.5899
v1|298485620610|0,"1980 LP Con Funk Shun ""Spirit of Love"" Mercury SRM 1-3806",9.95,0.3809
v1|287442774388|0,Pavement - Wowee Zowee LP. 2xLP Original Press. Yellow Labels. ,90.00,0.3508
v1|127960972786|0,PAC-MAN FEVER (1982 LP) Buckner & Garcia - Columbia RC 37941 Vinyl EXC Shrink,8.99,0.3564
v1|398162976791|0,SONNY OKOSUN Ozziddi | Nigeria | Raw Afrobeat | Afro Funk | LP HEAR,9.99,0.3486
v1|236921708118|0,Doug Watkins Quintet - Soulnik LP - New Jazz - NJLP 8238 RVG VG+,39.99,0.3190
v1|188607551159|0,"HEAR👂Meade Lux Lewis Rare 1st Blue Note 1 Pink 12"" 78 RPM Melancholy Blues READ",102.50,0.3965
v1|298485358363|0,Fragile by the progressive rock band Yes LP ~Vinyl-VG,1.00,0.3231
v1|206403288538|0,Cheech & Chong - Big Bambu 1972 LP WITH  Rolling Paper Very Nice ,15.00,0.2999
v1|287442637516|0,Cliff Jordan John Gilmore BLP 1549 Blue Note 47W63 DG RVG Ear VG,975.00,0.4062
v1|358773198227|0,Al Di Meola Scenario 1983 Columbia Vinyl LP,1.99,0.3830
v1|327249814556|0,RBL Possie- Bounce To This 1994 In-A-Minute Records INA8701 Rap/Gangsta,3.30,0.3916
v1|188609224159|0,The Byrds Fifth Dimension Columbia CL 2549 MONO Original Plays Excellent,24.99,0.4102
v1|206407785538|0,Lorde - Solar Power - Exclusive Limited Edition Clear Vinyl LP - Pre-Owned,0.99,0.2730
v1|236921291048|0,Afro Cuban Son LP A Bailar Con Mariano Merceron Y Sus Muchachos Pimienta Puchito,1.99,0.3554
v1|327248987197|0,"Premiers  Farmer John ""Live""  Original Rare 1964 WB Records RnB Garage Rock Lp",5.99,0.3439
v1|298474438845|0,John Coltrane on Blue Note 1577,250.00,0.7328
v1|398162957639|0,DJANKA La Divine | Manding | Balearic | Afro | Cosmic Disco LP HEAR,9.99,0.2161
v1|358763252939|0,"The Game ""The Documentary"" 2xLP Aftermath/G Unit/Interscope Read Description",12.50,0.3286
v1|236914553852|0,"78 RPM -- Patrick Clancy, New Republic 2303 ""Dublin Reels"", V+ Irish Fiddle HEAR",150.00,0.2914
v1|318508189971|0,Lou Rawls – All Things In Time - US LP + Hype Sticker 1976,4.99,0.2379
v1|398162966776|0,LES GRANDS COLUMBIAS DU PEUPLE | Bomb! | | Raw Afro Funk! | Soukous LP HEAR,9.99,0.3113
v1|398162926990|0,SUPER 5 INTERNATIONAL Vol 1 | Highlife | Breaks | Afro | Dancefloor LP HEAR,9.99,0.2193
v1|227425953509|0,BRAHMS VIOLIN CONCERTO HEIFETZ REINER RCA VICTOR LIVING STEREO 9S/9S LP NM,9.99,0.3441
v1|158054767458|0,Dave Brubeck’s Greatest Hits 1966 Columbia 2 Eye Vinyl LP Record Album,1.49,0.3462
v1|307046108173|0,Children of the Sun by Billy Thorpe LP ~Vinyl-VG,1.00,0.4266
v1|117288157237|0,"Julie London The End Of The World Little LP 7"" 33 1/3 RPM Jukebox LST-4-7300 VG+",1.00,0.3765
v1|227425953924|0,RUBINSTEIN REINER RACHMANINOFF FALLA RCA VICTOR SD LSC 2430 6s/7s LP NM,9.99,0.7033
v1|336675051597|0,Boston - Self Titled -1976 EPIC Record PE 34188 First Pressing Orange Label - NM,15.00,0.3401
v1|137489149576|0,Better Oblivion Community Center Orange Colored Vinyl LP Dead Oceans 2019 33RPM,25.00,0.4475
v1|298476842587|0,BOSTON Self Titled Vinyl LP HE 44188 Mastersound Half‑Speed Mastered 1980  NM,49.99,0.6154
v1|198480896866|0,"Soundgarden Superunknown 12"" Vinyl LP 33 RPM Rock A&M Records Cardboard Sleeve",23.91,0.5000
v1|398147469468|0,Cream Fresh Cream Vinyl ,5.00,0.7232
v1|168518954910|0,"20 CT NEW WAVE LP, EP LOT w DEVO, CYNDI LAUPER, CROWDED HOUSE, SPANDAU BALLET",81.00,0.3617
v1|227425947293|0,ART BLAKEY JAZZ MESSENGERS HARD BOP LP COLUMBIA 6 EYE 1ST PRESS 1A 1B EXCELLENT,10.50,0.6179
v1|336678766561|0,"The Rods, “Self Titled” LP 1981 Arista AL 9558 Hard Rock Heavy Metal VG+/VG+ USA",11.00,0.2655
v1|168523758112|0,"Vintage Journey Infinity 12"" Black Vinyl LP 1978 Columbia Classic Rock Album",10.00,0.2014
v1|327253897409|0,*New Vinyl LP Print* Greatest Hits by Bruce Springsteen vinyl *FREE SHIPPING*,15.00,0.3836
v1|407053219102|0,Wallows OK Single song Red Colored Vinyl Record,11.50,0.4710
v1|298484954791|0,"KID ROCK First Kiss Mint 180-gram Vinyl, LP, M+ Limited",49.99,0.3399
v1|398162954029|0,KASSIRY Afrika + Koudouw | Bomb! | Afro Boogie | Soul | 12”  HEAR,9.99,0.2413
v1|336669661238|0,Sir Edward-The Power of Feelingk-Encounter 3004 Original 1973 Jazz Funk RARE EX1,90.00,0.4024
v1|407053086736|0,Motörhead Bomber Lp 1986 Cover Is In Excellent Condition. Vinyl Has Lt Scratch’s,9.50,0.6502
v1|327253903599|0,"*New Vinyl LP Print* Greatest Hits by Bon Jovi, vinyl LP *FREE SHIPPING*",18.50,0.3701
