ebay_id,ebay_title,price,tfidf_score
v1|198477242581|0,"BROTHER DAVE GARDNER ""AIN'T THAT WEIRD"" LP 12"" VINYL VG++ ORTH ""LIVE IN PERSON""",7.99,0.3056
v1|336673120339|0,Art Blakey & The Jazz Messengers-Buttercorn Lady-Limelight LS 86034 Orig 1st EX!,29.50,0.6508
v1|336672791945|0,The Music Of Ken Medema Arranged By Bill Pursell~Listen...~FAST SHIPPING,8.00,0.2305
v1|147418398109|0,"Erdogan Capli 12"" Black Vinyl LP 33 RPM Piano Pasha Dot Turkish Folk DLP 3215",21.99,0.3902
v1|117286325685|0,The Best Of Bread GF gatefold LP 1973 Elektra 6E-108 SP ex+,12.00,0.4052
v1|137485654292|0,Chicago At Carnegie Hall All Volumes 4 LP Vinyl LP Record Box Set No Posters,25.00,0.3577
v1|227418074932|0,George Harrison the Best of George Harrison 1976 Capitol LP Vinyl Record,10.00,0.5761
v1|800293924169|0,JUDY COLLINS Now Playing Colored Vinyl LP Never Played 2023,10.00,0.2722
v1|358759489218|0,72 Original Hits Columbia Boxed Set 4 LP Vinyl Record Set Original Artists EX/EX,14.99,0.7451
v1|358759487926|0,"Fall Out Boy Infinity on High 12"" LP Black Vinyl Island Records Rock",95.00,0.2029
v1|137485653550|0,Timbuk 3 Edge of Allegiance IRS Promo 1989 Vinyl LP,28.99,1.0000
v1|267718747363|0,Debut Jimi Hendrix Vinyl Record Album Are You Experienced,8.95,0.5299
v1|398143402044|0,The Longines Symphonette Society 100 Golden Hits Volume 3 Vinyl LP,8.95,0.3189
v1|117286324214|0,Mekanic – Fourcorners - 01 In A Series Of 04 / ML001 (1999) / OG EP / Downtempo,25.00,0.3349
v1|178285646651|0,"NEW ORDER Blue Monday 1988 Remix 12"" Single Quest 20869 EX/EX",30.00,0.3855
v1|257606972264|0,ALEGRES DE TERAN VOL : 1V Mundo Enganoso     FLP -- 153,39.95,0.4238
v1|267718747165|0,Delegation – The Promise Of Love LP Record 1977 Shadybrook Disco Funk Soul Vinyl,19.00,0.5337
v1|117286324049|0,B.B. King promo LP Love Me Tender 1982 MCA Records MCA-5307 ex+,12.00,0.5456
v1|287440294619|0,Beware of Dog by Lil' Bow Wow Promo Vinyl  Record  2000,45.00,0.6360
v1|398143401540|0,Jimi Hendrix - 2 LP LOT - Crash Landing / Midnight Lightning ,29.95,0.5923
v1|147418055731|0,Al Martino Spanish Eyes Vinyl LP EX/VG+,9.50,0.3038
v1|336673462464|0,Mountain Banjo - Dueling Banjos - Lot of 2 LP Records,13.50,0.5415
v1|236918994678|0,STATLER BROTHERS- LOT OF 2 LP'S BEST OF & 10TH ANNIVERSARY (BOTH IN SHRINK),16.99,0.7030
v1|117286323661|0,NEIL DIAMOND GOLD LIVE AT THE TROUBADOUR vinyl LP + MOFI inner sleeve NM/VG+,9.99,0.2401
v1|127958915097|0,Helen Reddy I Am Woman LP Capitol ST-511068 1972 VG+ Vinyl VG+ Cover,14.99,0.3011
v1|227418071205|0,"Believers Never Die, Vol. 2 by Fall Out Boy (Record, 2020)",19.99,0.3935
v1|236918994451|0,Aerosmith ' Permanent Vacation ' Vinyl LP Album US 1987 ROCK Stereo VG/VG,12.00,0.3215
v1|168516239026|0,TOWER OF POWER - ‘Bump City’ - WARNER BROS LP VINYL G+,17.00,0.6175
v1|287440293426|0,Walt Disney Presents MORE MOTHER GOOSE Disneyland Records   LP 1962,9.59,0.2593
v1|336673095562|0,Art Blakey-Three Blind Mice-United Artists/Douglas UAS 5633 1972 Reissue VG+/EX!,12.50,0.5322
v1|800273524997|0,"Rimsky-Korsakov Scheherazade Vinyl LP Vol 8 Milton Cross Series, Carlson cover",7.00,0.3510
v1|147399542191|0,Weather Report - Weather Report - 1973 Jazz - EX - Ultrasonic Clean,23.99,0.4006
v1|147399542330|0,Weather Report - Mysterious Traveller - 1974 Jazz - EX - Ultrasonic Clean,59.99,0.7093
v1|336664514079|0,Les Paul & Mary Ford - The Fabulous Les Paul & VG+/VG 0 Terre Haute Ultrasonic,6.50,0.8110
v1|168516238746|0,Al Jarreau 3 LP Lot of Vinyl LP's in Near Mint Condition Glow Breakin' This Time,15.99,0.3294
v1|198477971565|0,RUSS BALLARD SELF-TITLED LP 1984 EX ARGENT,14.99,0.6654
v1|227418069444|0,"The Dave Clark Five LP, Glad All Over, Epic LN 24093, ORIGINAL 1964, VG+",9.95,0.2721
v1|158058015253|0,Anita Baker Rapture Vinyl LP 1986 Elektra Records E1-60444,20.00,0.3985
v1|398143399913|0,Le Roy Van Dyke Movin' Van Dyke,2.99,0.3884
v1|127958913733|0,Sade Diamond Life Vinyl LP NM 1985 Portrait FR 39581 Smooth Operator Jazz Soul,46.00,0.2359
v1|117286322025|0,Starz LP Coliseum Rocks 1978 Capitol ST-11861 vg+ with inner sleeve,12.00,0.3160
v1|137485651815|0,Chicago V Vinyl LP 1972 Columbia KC 31102 w/poster Good Condition TESTED,8.00,0.4038
v1|117286321874|0,Sphere - Flight Path (LP) Electra Musician 60313-1,9.95,0.5293
v1|398143399147|0,"Enema Of The State by Blink-182 Album (Record, 2016) Parental Advisory explicit",34.99,0.6281
v1|336673460016|0,"Billy Ocean Suddenly LP Vinyl 12"" Black Pop 1984 33 RPM Jive JL-8-8213",25.00,0.3379
v1|188604303022|0,Kermit Schafer All Time Great Bloopers 6LP Vinyl Box Set Silver Anniversary,10.00,0.4231
v1|267718740485|0,"DRUDKH / WINTERFYLLETH – Thousands Of Moons Ago / The Gates, Split EP, 12"" 45RPM",20.00,0.3282
v1|117286321608|0,Commodores All The Great Hits LP 1982 Motown 6028ML vg+,12.00,0.3166
v1|236918990225|0,The Cars ' Heartbeat City ' Vinyl LP Album US 1984 VG/VG+ ROCK Pitman ELEKTRA,10.00,0.3734
v1|287440291352|0,Walt Disney Presents Learning To Tell Time Is Fun 1964 Disneyland Vinyl LP ,7.00,0.3151
v1|117286321338|0,Timecrimes OST Vinyl LP Mondo Black 180g Gatefold OOP Eugenio Mira EX OOP,29.99,0.4882
v1|206396046712|0,"Doris Day ""Love Him"" 1964 Columbia CL-2131 Used MONO LP VG+",9.99,0.2184
v1|336673458991|0,ELVIS PRESLEY Having Fun With Elvis On Stage Vinyl LP RCA CPM1-0818 Talking Only,16.99,0.3035
v1|398143398416|0,STRAWBERRY SHORTCAKE Live Orig 1981 KID STUFF  Childrens Vinyl LP Big Apple,14.99,0.3388
v1|366524305493|0,UFO Obsession Chrysalis WWS-81069 Japan  VINYL LP Insert OBI EX EX,69.99,0.4093
v1|227418067164|0,"Sabotage by Black Sabbath (Record, 2015) AS IS see photos",25.00,0.6393
v1|358759476609|0,Soft Machine 7 1974 Vinyl LP,10.00,0.9136
v1|227418067113|0,"CHUCK BERRY: ""San Francisco Dues"": 1971 'PROMO' LP + INNER:  Chess Records: VG++",24.95,0.5155
v1|127958912360|0,Hank Williams Jr Live At Cobo Hall Detroit LP MGM SE-4644 Stereo VG+ Vinyl G+ Co,14.99,0.2655
v1|336673458355|0,"Billy Joel Turnstiles LP Vinyl 12"" Black Stereo 1976 Columbia PC 33848",35.00,0.2510
v1|236918987261|0,BLACK JOE Golden Medals Barra Limpa 5 Brazil *autographed* RARE vinly LP VG+,19.95,0.3770
v1|137485650360|0,PAULO MAURO BLAZING BRILLIANCE FROM BRAZIL 1972 LP OOP TANGERINE PRINT VINTAGE ,49.99,0.2394
v1|168516235734|0,TOWER OF POWER LP WARNER BROS BS 2681 STEREO 1973 Soul Funk,15.00,0.5085
v1|336673457719|0,Doctor Dolittle - LP - Original Soundtrack - Rex Harrison,9.95,0.2710
v1|336673457774|0,Barry Manilow - Lot of 2 LP Records  - Live - If I Should Love Again,13.50,0.2437
v1|336673457613|0,Loverboy - Keep It Up - LP Vinyl Record Album - Hot Girls in Love,14.45,0.2797
v1|336673457651|0,Roger Williams - LP - Greatest Hits - Vinyl Record,9.95,0.3721
v1|336673457671|0,The Motels - Lot of 2 LP Records - All Four One - Little Robbers,27.95,0.4491
v1|236918986912|0,SPIDERS Shake Electric 2014 Reaktor Records NM- Swedish Rockers w/Poster,24.98,0.3443
v1|327248298703|0,Los Rancheritos Del Topo Chico 1982 Pressing Lp Paloma Piquito De Oro NM / EX,30.00,0.2978
v1|137485650125|0,Vintage CHICAGO TRANSIT AUTHORITY 1969 Double Vinyl LP GP8 Gatefold CS 9809,10.00,0.2440
v1|117286320451|0,The Supremes At The Copa LP Motown S-636 vg+,12.00,0.4494
v1|137485650069|0,Larry Norman ‎–  Upon This Rock - vinyl - DOVE 64 - 1983 Kingsway Music  - Used,10.00,0.2452
v1|227418066138|0,Lou Reed Rock n Roll Animal LP Vinyl RCA Rock 1970s Stereo APL1-0472,10.00,0.4903
v1|407050708342|0,Grateful Dead Rare Cuts & Oddities 1966 RSD Rhino WB Records 2 LP  Set NM,99.99,0.5225
v1|117286320058|0,Rickie Lee Jones LP Pirates 1981 Warner Bros BSK 3432 ex with inner sleeve,12.00,0.5350
v1|298482377564|0,Various Artists Feuding Banjos Compilation LP Vinyl Record Album,6.00,0.2900
v1|336673456555|0,Collective Soul Blender BLUE COLORED VINYL 2000 Album LP 2025 RSD REISSUE RARE,33.99,0.3445
v1|178285639739|0,"Joni Mitchell & L.A. Express MILES OF AISLES, 2-LP's, Asylum (1974) 1st Pressing",19.98,0.3639
v1|336673456206|0,"Joni Mitchell Don Juan's Reckless Daughter 2LP Vinyl 12"" 33 RPM 1977 BB-701",30.00,0.3381
v1|206396044499|0,MOTORHEAD No Sleep Til Hammersmith Live LP  USA Mercury/Bronze 1981 EXC/Inner,36.99,0.3377
v1|236918984804|0,Uriah Heep ' Demons and Wizards ' Vinyl LP Album US 1972 Pitman VG/VG ROCK,10.00,0.3717
v1|178285638688|0,The Human League Fascination! 1983 First Press LP Vinyl Record Synth New Wave,6.83,0.3335
v1|398143395526|0,Andy Williams Warm And Willing,6.00,0.4692
v1|117286318925|0,Ray Charles Greatest Hits LP ABC Paramount ABCS-415 solid vg,12.00,0.5046
v1|287440287925|0,Crass - Stations Of The Crass Double Vinyl Album  2x LP,39.69,0.4178
v1|198477966346|0,Relax Frankie Goes To Hollywood Record 33  Lp,3.00,0.3750
v1|137485648004|0,BOSTON - THIRD STAGE - 12” Vinyl Lp Album 1986 MCA Records Rock - MCA-6188,12.00,0.6439
v1|206396043093|0,"John Lennon Imagine Capitol SW-3379 12"" Black Vinyl LP w/ Cardboard Sleeve",15.00,0.4211
v1|398143391984|0,"Slayer Live Undead Picture Disc Vinyl 12"" LP original never played",75.00,0.2046
v1|398143391957|0,The Best of Mom and Dads Special 2 Record Set Vinyl LP,7.19,0.6822
v1|158058010636|0,KISS – Love Gun NM Original Casablanca LP Record & UNPOPPED GUN 1977 COMPLETE!,299.99,0.3276
v1|267718736456|0,"DRUDKH – Forgotten Legends, LP, Black Vinyl, 2021 Reissue, SoM - LIKE NEW!",20.00,0.2605
v1|117286318031|0,Peter Frampton Somethins Happening 1974 A&M SP 3619,5.00,0.3375
v1|327248296896|0,Saltas Mors Salis - Opus 1 Black Vinyl LP 2020 Doom / Black Metal Inners NM,34.99,0.4174
