ebay_id,ebay_title,price,keeper_score
v1|800455821706|0,"Killing Joke- America/Jihad 7"" Vinyl- Post-Punk- EG Records- 1988- Jaz Coleman",20.00,0.9906
v1|366577517907|0,LEE MORGAN Self Titled BLUE NOTE BLP-1557 LP NM mono japan reissue w/ insert o,29.88,0.9882
v1|318672672530|0,Autosalvage - Autosalvage - 1968 RCA Original LSP-3940 Stereo - Acid Psych Rock,60.00,0.9838
v1|206462527541|0,Donald Byrd - Places And Spaces LP - Blue Note Shrink,10.50,0.9830
v1|318661014227|0,LEE MORGAN City Lights BLUE NOTE LP VG++ mono japan reissue w/ insert & obi o,51.00,0.9825
v1|318661022837|0,YUSEF LATEEF Eastern Sounds PRESTIGE LP o,35.33,0.9824
v1|366583484154|0,GABOR SZABO Jazz Raga IMPULSE LP VG+ gatefold o,18.00,0.9821
v1|336724269249|0,Private Press Prog Rock Psych Heavy RARE Original Press Polyphony LP NO COVER ,50.00,0.9810
v1|358880681500|0,"Ramones Ramones Mania Sire W1-25709 12"" Black Vinyl LP 33 RPM Stereo",100.00,0.9802
v1|366577516499|0,HORACE PARLAN Speakin' My Piece BLUE NOTE LP VG+ japan 1991 reissue w/ insert o,11.50,0.9778
v1|366577517959|0,LEE MORGAN Indeed! BLUE NOTE LP mono UA o,29.00,0.9752
v1|366583483880|0,GABOR SZABO The Sorcerer IMPULSE LP gatefold o,12.00,0.9741
v1|257661080374|0,Lee Morgan Candy 1991 Blue Note Japan stereo reissue,34.99,0.9741
v1|800440147675|0,LEE MORGAN SEXTET Self Titled BLUE NOTE BLP-1541 LP VG++ mono japan w/ insert o,13.03,0.9723
v1|307104861715|0,"12"" LP - MAX Q - SOMETIMES - 1989 Atlantic Records",7.00,0.9711
v1|800454723323|0,WAYNE SHORTER Adam's Apple BLUE NOTE LP VG+ mono o,26.00,0.9709
v1|298557059507|0,Ramones lp Too Tough to Die **Sire** 1984,25.00,0.9701
v1|298557059507|0,Ramones lp Too Tough to Die **Sire** 1984,25.00,0.9701
v1|318672202105|0,3 SOUNDS Vibrations BLUE NOTE LP mono Liberty van gelder o,11.25,0.9687
v1|800454723703|0,WAYNE SHORTER Odyssey Of Iska BLUE NOTE LP o,36.00,0.9670
v1|307105578169|0,The Mummies - Never Been Caught LP Vinyl Garage Rock Punk Mono 12” US,50.00,0.9648
v1|366583501297|0,JOHN COLTRANE/PAUL QUINICHETTE Cattin' With... PRESTIGE LP mono oa,8.50,0.9626
v1|188739445824|0,"Herbie Hancock Empyrean Isles 12"" Black Vinyl LP Stereo Blue Note BST 84175",12.76,0.9623
v1|318661014398|0,LEE MORGAN The Sidewinder BLUE NOTE LP stereo NY van gelder ear o,61.00,0.9603
v1|366583473187|0,3 SOUNDS Good Deal BLUE NOTE LP mono NY RVG o,41.00,0.9595
v1|366583478926|0,WAYNE SHORTER Super Nova BLUE NOTE LP VG+ o,18.00,0.9593
v1|336724271368|0,Private Press Psych Southern Hippie Rock Jazz Rock Kallabash Corp. LP Rare,34.99,0.9564
v1|336724029580|0,*WARPED VINYL  AS-IS Goliath LP Rare Private Press Prog Heavy Vinyl Edge Warp,11.50,0.9562
v1|278251249702|0,Lee Morgan The Sidewinder Vinyl Lp Record Blue Note,34.99,0.9562
v1|278251249702|0,Lee Morgan The Sidewinder Vinyl Lp Record Blue Note,34.99,0.9562
v1|117340490736|0,"CHARLES MINGUS Mingus Dynasty COLUMBIA CL 1440 12"" Black Vinyl Jazz LP",30.00,0.9553
v1|117340273331|0,Wayne Shorter Adam'S Apple Blue Note Bst 84232,29.99,0.9550
v1|358889557616|0,Art Blakey &The Jazz Messengers 3 Blind Mice UAJS 15002 stereo Freddie Hubbard,10.00,0.9538
v1|800454723794|0,WAYNE SHORTER Moto Grosso Feio BLUE NOTE LP o,9.40,0.9532
v1|257664265020|0,LEE MORGAN Quintet LP Vee Jay Mono WLP Promo Clifford Jordan Art Blakey Davis,39.99,0.9532
v1|318672012896|0,Mansion - Devil Woman LP - Clover Sound Nigeria - Afro Funk Psych OG Press,61.00,0.9529
v1|257653155372|0,Eric Dolphy – Out There US MONO RVG Vinyl LP VG+/EX New Jazz,74.72,0.9527
v1|800454712941|0,3 SOUNDS Self Titled BLUE NOTE BST-81600 LP stereo Liberty o,8.50,0.9525
v1|366583473247|0,3 SOUNDS Vibrations BLUE NOTE LP stereo NY van gelder o,14.50,0.9518
v1|800454743170|0,GABOR SZABO Wind Sky And Diamonds ABC/IMPULSE LP VG+ gatefold o,15.49,0.9499
v1|336723284743|0,"FACTORY RECORDS: Joy Division: Atmosphere 1988 FAC 213 UK 12"" LYNTONE PRESSING",66.74,0.9499
v1|318672209630|0,HORACE SILVER Blowin' The Blues Away BLUE NOTE LP mono w 63rd RVG ear o,8.00,0.9497
v1|318672209434|0,WAYNE SHORTER The Soothsayer BLUE NOTE LP VG+ o,10.50,0.9491
v1|318672209434|0,WAYNE SHORTER The Soothsayer BLUE NOTE LP VG+ o,10.50,0.9491
v1|318672012666|0,Bobby Caldwell - S/T LP - Clouds Yellow Wax VG+,36.00,0.9477
v1|318672206793|0,ROY AYERS Daddy Bug & Friends ATLANTIC LP VG+ o,8.00,0.9463
v1|257653167680|0,Eric Dolphy Quintet – Outward Bound 1960 US FIRST PRESS RVG DEEP GROOVE VG/VG+,81.88,0.9431
v1|800454723416|0,WAYNE SHORTER Adam's Apple BLUE NOTE BST-84232 LP stereo SEALED o,45.00,0.9425
v1|407117907940|0,THE THREE SOUNDS LP Vinyl Coldwater Flat ~ BLUE NOTE BST-84285  w/Oliver Nelson,13.98,0.9395
v1|206462527513|0,Bobby Caldwell - Cat In The Hat LP - Clouds PROMO,8.00,0.9391
v1|168586631260|0,Bud Powell The Scene Changes LP 1959 Blue Note BLP 4009 Original Pressing RVG,35.00,0.9378
v1|206462527509|0,Bobbi Humphrey - Fancy Dancer LP - Blue Note,9.00,0.9369
v1|257659268925|0,JJ JOHNSON SONNY ROLLINS EARLY BONES 2 LP VINYL SET ON PRESTIGE VG++/NM-,4.99,0.9355
v1|257659268925|0,JJ JOHNSON SONNY ROLLINS EARLY BONES 2 LP VINYL SET ON PRESTIGE VG++/NM-,4.99,0.9355
v1|800440149147|0,CHARLES MINGUS Mingus Mingus Mingus Mingus Mingus ABC/IMPULSE LP VG+ gatefold o,12.50,0.9336
v1|800440147750|0,LEE MORGAN Cornbread BLUE NOTE LP VG+ stereo UA van gelder o,21.09,0.9334
v1|800440147487|0,LEE MORGAN Charisma BLUE NOTE LP van gelder gatefold o,21.50,0.9332
v1|206463407594|0,"Art Blakey & The Jazz Messengers 3 Blind Mice 12"" Vinyl LP Stereo SS-18033",8.45,0.9327
v1|366583476084|0,ROY AYERS Stoned Soul Picnic ATLANTIC LP VG+ o,15.00,0.9326
v1|336724278799|0,1971 Psych Blues Jam Fuzz Rock Peeling Of Tangerine 1999 Pressing Akarma Vinyl ,27.99,0.9321
v1|336724270380|0,Heavy Psych Italian Prog Rock German Pressing Banco “As In A Last Supper” LP VG+,45.00,0.9313
v1|336724270380|0,Heavy Psych Italian Prog Rock German Pressing Banco “As In A Last Supper” LP VG+,45.00,0.9313
v1|366577517717|0,ALPHONSE MOUZON Mind Transplant BLUE NOTE LP o,8.00,0.9300
v1|236981374352|0,"FACTORY RECORDS: New Order- Blue Monday US 12"" FACTUS 10 ORIGINAL VIRGIN VINYL",10.00,0.9296
v1|257651553434|0,Thelonious Monk Quartet – Misterioso 1958 US MONO First Press Deep Groove EX,78.00,0.9268
v1|336723187347|0,"FACTORY RECORDS: ESG- Erase You / Standing in Line 1991 US Pow Wow 12""",5.00,0.9260
v1|800440149097|0,CHARLES MINGUS New Tijuana Moods BLUEBIRD 5635-1-RB 2XLP gatefold SEALED o,8.00,0.9246
v1|178371206365|0,Naked Raygun Throb Throb LP original Homestead 1984 LSR Big Black Steve Albini,29.99,0.9232
v1|128009133109|0,New Order Power Corruption And Lies Vinyl OG 1983 US NM Hype FACTUS 12 LP,95.00,0.9220
v1|800454443905|0,N.W.A. - Straight Outta Compton LP - Ruthless OG Press,41.00,0.9201
v1|318683263270|0,"MARILLION ~ ‘the Space’ ~ 1994 UK 3tk 12"" Single, Picture Disc, Prog Rock",23.99,0.9193
v1|318661029697|0,BOBBY HUTCHERSON Patterns BLUE NOTE LP VG+ o,50.99,0.9168
v1|267744768935|0,REUBEN At Foxy's Five-Of-Us FTR100 Private Press FOLK PSYCH Record Vinyl LP RARE,34.99,0.9160
v1|257659966320|0,Lee Morgan The Rumproller 2020 Blue Note stereo reissue,17.50,0.9150
v1|800440175259|0,LEE KONITZ Ezz-Thetic! PRESTIGE LP VG+ o,8.00,0.9148
v1|178371140246|0,John Coltrane Blue Train Authentic True Stereo First Press RVG EAR VG VINYL,21.50,0.9119
v1|198537918867|0,Richard Groove Holmes-Soul Message PRESTIGE  Vinyl Lp Soul-Jazz 1965,32.00,0.9119
v1|358867655523|0,GUIDED BY VOICES Alien Lanes LP Matador 1995 Lo-Fi Indie Rock OLE 123-1,69.00,0.9109
v1|188738985628|0,"Wayne Shorter Night Dreamer 12"" Black Vinyl LP Stereo Blue Note 2014 BST 84173",10.92,0.9102
v1|318661022351|0,YUSEF LATEEF Self Titled PRESTIGE PR-24007 2XLP gatefold o,8.00,0.9101
v1|398253629648|0,Bobby Hutcherson / Natural Illusions / 1972 Blue Note BST 84416 Jazz-Funk,20.00,0.9089
v1|327293603061|0,"The Velvet Underground & Nico Vinyl LP 1985 Remastered, Reissue Black Label",119.99,0.9072
v1|366583478888|0,WAYNE SHORTER The All Seeing Eye BLUE NOTE LP stereo UA van gelder o,19.00,0.9065
v1|227460941562|0,Brian Eno - The BBC Sessions - LP - Vinyl - Record,20.00,0.9052
v1|227460941562|0,Brian Eno - The BBC Sessions - LP - Vinyl - Record,20.00,0.9052
v1|257651574706|0,Thelonious Monk Quartet – Thelonious In Action 1958 US MONO First Deep Groove,20.47,0.9051
v1|267749053729|0,"DONALD BYRD Free Form 7"" Jukebox Seeburg Blue Note Van Gelder Little LP",29.99,0.9051
v1|267749053729|0,"DONALD BYRD Free Form 7"" Jukebox Seeburg Blue Note Van Gelder Little LP",29.99,0.9051
v1|800440149012|0,BLUE MITCHELL Bring It Home To Me BLUE NOTE LP stereo NY van gelder o,23.15,0.9049
v1|327293843710|0,Jimmy L. Webb  Words And Music  Rare 1970 Reprise Pop Folk Psych Rock Promo Lp,4.99,0.9048
v1|257651597231|0,"Thelonious Monk – Straight, No Chaser 1967 US MONO First Press Vinyl LP EX",26.00,0.9044
v1|257651595759|0,Thelonious Monk – Criss-Cross 1963 US MONO First Press Vinyl LP VG+/EX,23.00,0.9037
v1|158150500273|0,MAX ROACH We Insist! Freedom Now Suite MONO 1961 LP Used! Candid IND CJM 8002,50.99,0.9011
v1|318672210501|0,HORACE SILVER QUINTET Horace-scope BLUE NOTE LP mono w 63rd RVG o,50.76,0.9000
v1|366577516436|0,"JOE PASS The Complete ""Catch Me!"" Sessions BLUE NOTE LP VG+ o",15.51,0.8993
v1|257661475411|0,INXS LP Kick 1987 Atlantic Stereo Gatefold,25.00,0.8987
v1|318676438232|0,Buckingham Nicks LP 1973 Original 1st US Press Polydor Records Vinyl LP EX,250.00,0.8912
v1|336724269482|0,Krautrock Prog Psych Vinyl Reissue Long Hair Germany Dzyan “Time Machine” LP NM ,42.00,0.8900
v1|358867508472|0,Bikini Kill - Pussy Whipped - Vinyl Record 1993 KRS 218,79.99,0.8892
v1|318672209846|0,HORACE SILVER QUINTET Doin' The Thing BLUE NOTE LP mono NY RVG ear o,14.50,0.8885
v1|800440149044|0,BLUE MITCHELL Boss Horn BLUE NOTE LP van gelder o,27.00,0.8879
v1|287506526296|0,Gabor Szabo - Faces LP - OG Press - Jazz Funk - VG++,8.00,0.8878
v1|800454726776|0,LONNIE SMITH Drives BLUE NOTE LP van gelder o,29.00,0.8866
v1|800454443853|0,Lonnie Liston Smith - Visions Of A New World LP - Flying Dutchman VG+,22.50,0.8859
v1|188739582416|0,"John Coltrane A Love Supreme 12"" Blue Vinyl LP Stereo Impulse! AS-77",10.50,0.8855
v1|318661014315|0,LEE MORGAN The Gigolo BLUE NOTE LP van gelder SHRINK o,36.00,0.8850
v1|198546930496|0,"PETER BROWN, "" STARGAZER"", 12"" DRIVE LP,  FUNK, DANCE/ ELECTRONIC, R&B / VG+",1.99,0.8849
v1|236982729210|0,SONNY ROLLINS The Freedom Suite Plus MILESTONE vinyl double LP PROMO VG/M-,20.20,0.8838
v1|336724345787|0,LP Sir Joe Quarterman & Free Soul - Sir Joe Quarterman & Free Soul GSF EX,85.00,0.8834
v1|800440176994|0,"ROLAND KIRK QUARTET Rip, Rig & Panic LIMELIGHT LP textured cover o",46.00,0.8834
v1|128009185856|0,Rare Curtis Fuller NEW TROMBONE Vinyl Prestige 7107 Original Long Playing Micro,1000.00,0.8830
v1|800454746742|0,GABOR SZABO/BOB THIELE Light My Fire ABC/IMPULSE LP VG+/VG++ gatefold o,19.49,0.8829
v1|800454443806|0,"Impulse - D.U.I. 12"" - Big Noize - Rare Electro Rap SEALED",8.50,0.8818
v1|318672210033|0,HORACE SILVER QUINTET The Tokyo Blues BLUE NOTE LP mono NY van gelder ear o,22.50,0.8813
v1|178331675611|0,MONKEES • Instant Replay 1969 LP RARE Original in Shrink LISTEN EX,12.99,0.8812
v1|318672212318|0,LONNIE LISTON SMITH Visions Of A New World FLYING DUTCHMAN LP gatefold o,33.00,0.8805
v1|307104412409|0,CHYLDS 45 GREY DAYS / NO MORE TEARS Garage Rock Psych Prog Punk  NM,15.99,0.8790
v1|366583479091|0,HORACE SILVER Blowin' The Blues Away BLUE NOTE LP stereo UA RVG o,8.00,0.8780
v1|257659264190|0,LP - Sonny Rollins – Brass / Trio Verve Records – V-8430 US 1962,13.00,0.8740
v1|336724273658|0,Psych Heavy Proto Punk Killing Floor “Out Of Uranus” LP EX Condition Akarma ,45.00,0.8738
v1|336724273658|0,Psych Heavy Proto Punk Killing Floor “Out Of Uranus” LP EX Condition Akarma ,45.00,0.8738
v1|318672012712|0,Digital Underground - Future Rhythm LP - Critique SEALED,22.50,0.8726
v1|366577517801|0,ALPHONSE MOUZON The Essence Of Mystery BLUE NOTE LP o,10.50,0.8724
v1|318672209071|0,WAYNE SHORTER Speak No Evil BLUE NOTE LP stereo UA van gelder o,16.50,0.8716
v1|318672012888|0,"M.C. Chi Chi, The Girls & Boo - Funk 4 Dayz 12"" - Obscure Random Rap SEALED HEAR",8.00,0.8712
v1|407117759615|0,"Yogi Boy ""He's Yogi"" Rare Private Texas Random Rap LP Rush OG",117.50,0.8704
v1|278244034685|0,"THE GLOVE Blue Sunshine - Vinyl 12"" LP with The Cure's Robert Smith",31.00,0.8703
v1|287502669922|0,JUNIE FREEZE LP ORIGINAL PRESS,29.99,0.8697
v1|318661015892|0,JIMMY MCGRIFF Electric Funk BLUE NOTE LP gatefold o,47.33,0.8681
v1|178371456541|0,"Dead Moon Black September 7"" 1989 Tombstone first pressing Mono Fred Cole Wipers",49.99,0.8674
v1|800454770195|0,PETE YELLIN Dance Of Allegra MAINSTREAM LP VG+ gatefold o,8.50,0.8673
v1|206457614995|0,THE MODERN JAZZ QUARTET Concorde LP PRLP 7005 MONO DG RVG 1959 Jazz,29.00,0.8671
v1|198538678102|0,Third Ear Band- Alchemy Harvest SKAO-376 VG/VG Gatefold 1969 Original,25.20,0.8652
v1|188738916553|0,"Psychedelic Underground by Retsiem, Bokaj Vinyl NM",19.00,0.8634
v1|800454443875|0,Madlib - Shades Of Blue 2xLP - Blue Note OG Press Stereo VG++,18.50,0.8627
v1|358867580746|0,Redd Kross - Born Innocent Frontier LP PUNK FLP 1018,18.99,0.8623
v1|800454752249|0,BOBBY TIMMONS The Soul Man! PRESTIGE LP VG+ o,32.13,0.8622
v1|336719202081|0,"*CLEAR VINYL* DAWN RAYD A THORN,A BLIGHT LP ON MOMENT OF COLLAPSE RECORDS",8.00,0.8620
v1|318672210964|0,NINA SIMONE At Town Hall COLPIX LP mono o,8.00,0.8604
v1|137591406925|0,"1983 Cabaret Voltaire – Yashar 12"" Vinyl Record",13.00,0.8602
v1|117339430821|0,Charlie Mingus LP/Mingus Revisited - Limelight LS 86015 - Stereo 1965,15.00,0.8598
v1|366583484800|0,GABOR SZABO 1969 SKYE LP gatefold o,18.48,0.8594
v1|366583926981|0,"Public Enemy ""It Takes A Nation Of Millions..."" Rap Hip Hop LP Def Jam OG",26.00,0.8589
v1|318661024958|0,ELVIN JONES The Ultimate... BLUE NOTE LP van gelder SHRINK o,20.50,0.8584
