ebay_id,ebay_title,price,keeper_score
v1|168571070867|0,"SPAZZ CHARLES BRONSON 7"" SPLIT WHITE VINYL 1996 RARE CROSSED OUT METAL GRIND",339.00,0.9846
v1|377387298031|0,Take Flight - Self Titled LP - OG Private Press Femme Folk Psych - Rare! VG+,16.66,0.9821
v1|117337602505|0,THE JAZZ EXPERIMENTS OF CHARLES MINGUS,59.99,0.9801
v1|377387320591|0,Miles Davis - Kind Of Blue LP - OG Mono Japan Press - Rare Jazz,41.00,0.9799
v1|227454037415|0,THELONIOUS MONK - Thelonious Himself mono JAPAN Milestone pressing JAZZ Coltrane,8.98,0.9740
v1|377387318715|0,The Animated Egg - Self Titled LP - OG Press - Rare Fuzz Psych Rock,26.00,0.9681
v1|287499405868|0,feedtime – Shovel LP - Rough Trade Rough US 35 Noise Rock - Insert - 1988 - NM-,20.00,0.9640
v1|287496062435|0,BLACK DICE LP MILES OF SMILES NOISE PUNK SONIC YOUTH MELT BANANA INDIE RARE,17.00,0.9588
v1|366579148693|0,"Коррозия Металла - Орден Сатаны ©1988, 1991 SNC Records ME 1801 Korrozia Metalla",49.00,0.9584
v1|377387317600|0,Roger & Wendy - Love Rog & Wen LP - OG Press - Rare Private Folk Psych - VG+,26.00,0.9557
v1|147476313649|0,Donald Byrd - Slow Drag on Blue Note - Blue Note Tone Poet Series - Reissue,14.50,0.9537
v1|298551348696|0,Skid Roper - Lydias Cafe US LP 1991 ,30.00,0.9535
v1|318665080704|0,Brian Eno - Ambient 1 - Music For Airports - 1979 Original EG 9167-9835,35.00,0.9493
v1|398238413039|0,"THE CURE,FIRST PRESS KISS ME,2010 DISINTEGRATION,VG+VINYL 4 LP'S",109.99,0.9472
v1|336714096306|0,MILES DAVIS 'ROUND ABOUT MIDNIGHT COLUMBIA 6-EYE MONO CL 949 JOHN COLTRANE GOOD+,22.99,0.9469
v1|137581906982|0,Malo Self Titled LP  1972 Original WB 1st US Pressing Gatefold Latin VG+ VINYL,16.50,0.9449
v1|287499402985|0,feedtime – Suction LP Rough Trade ROUGHUS065 - 1989 - Noise Rock - Insert - NM-,20.00,0.9439
v1|257653692027|0,JOHN Coltrane  A Love Supreme  Impulse A-77 RVG 1965 press VG original LP & BOOK,69.99,0.9433
v1|377385341758|0,The Mustang LP Organ Freakout PSYCH MINT,15.00,0.9430
v1|188726940665|0,agoraphobic nosebleed kill the client split vinyl LP GRINDCORE record - RARE,20.00,0.9404
v1|147476244066|0,"Roots and Herbs (Blue Note Tone Poet Series) by Blakey, Art & Jazz Messengers...",14.00,0.9404
v1|287497327816|0,"Buzzcocks- The Way, 2xLP, Clear Vinyl, Near Mint, UK import, Unplayed, in shrink",24.00,0.9364
v1|168581461987|0,HERBIE HANCOCK My Point Of View LP Blue Note BST 84126 Van Gelder Mobley Byrd VG,79.95,0.9362
v1|398238400021|0,"THE VELVET UNDERGROUND, WHITE LIGHT/WHITE HEAT, MINT VINYL, MIP-1-9393, CANADIAN",59.99,0.9339
v1|398237045079|0,Art Blakey & The Jazz Messengers The Jazz Messengers Blue Note BST 4003 LP,899.00,0.9335
v1|267744857509|0,"Orig 1974 US LP – Sea Ensemble ""We Move Together"" ESP-Disk 3018 Quad Free Jazz",25.00,0.9315
v1|318665116532|0,REX STEWART Rendwzvous With Rex LP FELSTED SJA.2001 rare 1959 1st press NM-,4.99,0.9311
v1|377387322342|0,Bill Evans - Conversations With Myself LP - OG Press - Rare Jazz,10.50,0.9298
v1|800445534717|0,PM DAWN - Set Adrift On Memory Bliss. 1991 GEESTREET  12” SINGLE VG+ vinyl ,19.98,0.9280
v1|168571070873|0,"MERZBOW MSBR 7"" SPLIT 500 MADE 1996 RARE NOISE LIMITED EDITION HARSH ELECTRONIC",17.00,0.9279
v1|377387343769|0,Herbie Hancock - Head Hunters LP - OG Press - Jazz Funk,4.25,0.9272
v1|377387301805|0,Syd Barrett - The Madcap Laughs LP - OG UK Press - Psychedelic Rock - VG+,73.00,0.9237
v1|178352500587|0,La Sangre Caliente LP 1972 Mexico Rare Latin Funk Soul Psych HEAR Original,299.99,0.9236
v1|236977264565|0,Bill Evans/Jeremy Steig What's New LP Shrink Verve V6-8777 Stereo US OG VG+ Jazz,15.00,0.9161
v1|257654900351|0,Art Blakey & The Jazz Messengers Free For All 2014 Blue Note reissue,15.00,0.9158
v1|318661695716|0,FM 97 A1A Partners For Youth rare 1984 Private Press Miami Funk/R&B/Rock LP VG++,12.00,0.9154
v1|236977359143|0,The FLAMING LIPS Telepathic Surgery LP US OG VG+ 89 Restless indie acid psych,20.00,0.9153
v1|800443865553|0,"IMPULSE ENERGY ESSENTIALS-3 LP, IMPULSE 9228, BEBOP AND NEW THING",9.99,0.9136
v1|318664291361|0,MICHAEL BRECKER 1987 jazz Impulse NM in shrink  US original US vinyl LP,8.00,0.9107
v1|366579664178|0,"De La Soul ‎– Me Myself And I – TB 926, Vinyl, 12"", US 1989 Used VG+",14.99,0.9102
v1|236977380336|0,Wayne Shorter Speak No Evil Blue Note BST84194 US Vinyl LP,55.00,0.9091
v1|307100337171|0,Bubble Puppy 45RPM “Hot Smoke & Sasafrass” 1969 60s Psych Rock 7” Vinyl,5.99,0.9037
v1|267744885846|0,1984 Remastered US - Lee Morgan “The Rajah” Blue Note BST 84426 DMM w Poster VG,28.00,0.9015
v1|206422303681|0,ROLAND KIRK / SLIGHTLY LATIN / Limelight mono ORIG / VG+ / VG+,12.99,0.9009
v1|318649724951|0,"Bush Chemists & Chazbo Conscious Sounds Reggae Melodica Dub 10"" Vinyl Record",22.99,0.9001
v1|137572432819|0,Tanz Ohne Musik – Infinity LP Industrial Noise Galakthorro Haus Arafna,25.99,0.9000
v1|236977118278|0,Kate Bush Hounds of Love UK EMI 100 Limited Ed LP Audiophile Ex /VG++ *Read Desc,65.00,0.8989
v1|178361640674|0,"Miles Davis,  ""Kind of Blue"",  Jazz LP,  Columbia 6-eye,  Stereo  (2010 reissue)",25.00,0.8986
v1|158130107066|0,"MERZBOW BLACK LEATHER JESUS 7"" SPLIT 422/500 MADE 1994 RARE NOISE HARSH",27.00,0.8967
v1|158142981858|0,Madonna - Celebration (4-LP Vinyl Record) *RARE OG ORIGINAL 1ST PRESSING*,200.00,0.8919
v1|147476326367|0,McCoy Tyner - Expansions on Blue Note - Blue Note Tone Poet Series - Reissue,12.50,0.8914
v1|137582165295|0,THE THREE SOUNDS FEELIN' GOOD 1966 Blue Note Records BLP 4072 RVG Gene Harris 3,74.99,0.8912
v1|377387314860|0,Miles Davis - Quiet Nights LP - OG Stereo Press - Latin Jazz - VG+,5.50,0.8867
v1|227458076644|0,Promo Vinyl 7” JOY DIVISION She's Lost Control Dead Souls Movie New Order Rare,10.00,0.8835
v1|327289478866|0,Dave Emmi Emmi Lp Vinyl Record RARE Rock Album VG+,39.99,0.8810
