ebay_id,ebay_title,price,keeper_score
v1|267721835706|0,Miles Davis - Blue Moods - LP/Vinyl - 1983 Reissue - Charles Mingus,10.00,0.9904
v1|198487626842|0,Pharoah Sanders Jazz LP Jewels Of Thought on Impulse,30.00,0.9819
v1|158069083884|0,Donald Byrd Places And Spaces Blue Note 1975 Stereo TESTED G/G,4.99,0.9755
v1|267721788645|0,Charles Mingus - Mingus Three - LP/Vinyl - 1960 Reissue - Mono - JLP 1034,10.00,0.9728
v1|257583462328|0,Enlightners - Judge Not 1985 Raw lp RARE Private Modern Soul Boogie Gospel NM,26.51,0.9709
v1|398146241400|0,"The Butthole Surfers Rare 1991 Late Vinyl ""Pioughd"" LP in Shrink US Press",53.00,0.9679
v1|366531485484|0,Leonard Cohen Live Songs Lp Uk import Vg+,16.99,0.9648
v1|377322654034|0,"Slint Touch & Go ""Spiderland"" LP 1991",99.99,0.9594
v1|188621307798|0,RARE PSYCH Ultimate Spinage Behold & See Vinyl LP Album from 1968 VG+ Condition,225.00,0.9587
v1|398156659855|0,The VELVET UNDERGROUND & NICO Andy Warhol LP 1971 Garage Rock East Coast Press,675.00,0.9582
v1|257603749740|0,Cheri Adams - Sweet & Sour Songs 1977 lp RARE Private Modern Soul Boogie NM,6.00,0.9577
v1|267721969182|0,The Paupers - Magic People Original 1967 Vinyl LP -Gate Fold - Psych Rock,40.00,0.9558
v1|257583787510|0,Numonics - Rollin' 1982 Hodisk lp RARE Private Modern Soul Boogie Rola GRAIL NM,42.41,0.9542
v1|147418432038|0,1972 CHARLES BROWN DRIFTIN' BLUES Gatefold Promo LP Mainstream Records EX+ Cond,25.00,0.9535
v1|257605282303|0,New Mexico - s/t 1980 lp RARE Private Modern Soul Boogie NM,9.50,0.9535
v1|117296105658|0,"Paul Chambers Blue Note 1569 LP ""Bass on Top"" W.63rd DG ""Ear"" RVG Art Taylor",199.99,0.9526
v1|358773872281|0,Sonny Charles A&M 1214 Half As Much 1970 Release Funk Soul Vg,1.20,0.9504
v1|398155542450|0,"THE CURE,FIRST PRESS KISS ME,2010 DISINTEGRATION,VG+VINYL 4 LP'S",115.00,0.9472
v1|257603504168|0,Joe Holiday - s/t 1985 lp RARE Private Electronic Jazz Funk Boogie Synth NM,9.50,0.9440
v1|398146434724|0,A.C. Marias Wire Restless/Mute US Electronic LP 1989 Insert,99.99,0.9436
v1|257585511911|0,Transcoastal ft. Carlos Boyce - Finally! 1988 lp RARE Private Modern Soul Boogie,42.41,0.9428
v1|267721832206|0,Arion S/T LP Vinyl Rare Private Press PSYCH Lounge Rock 1984 Clean NM record,45.99,0.9416
v1|318548267986|0,CHI COLTRANE  Chi Coltrane  '72 CBS  LP  VG  VG+,4.00,0.9410
v1|257605007538|0,Fern Kinney - Groove Me 1979 Malaco lp Promo RARE Boogie Funk Soul Electro NM,6.00,0.9409
v1|206398820115|0,"Funk Psych Dyna-Might ""Borracho"" Promo",40.00,0.9407
v1|127964869283|0,Tangerine Dream:Force Majeure~N Mint Clear Vinyl~Prog Promo Album?~VIRGIN #V2111,49.99,0.9395
v1|127964849676|0,Harvey Milk Vinyl Double Lp The Singles Experimental Noise Rock Clear Vinyl ,8.56,0.9373
v1|147427280179|0,"""THE LEAVES""  1966  HEY JOE ▪︎MONO▪︎ LP  GARAGE/PSYCHEDELIC ROCK U.S.A. MIRA",12.50,0.9354
v1|398155550347|0,"THE VELVET UNDERGROUND, WHITE LIGHT/WHITE HEAT, MINT VINYL, MIP-1-9393, CANADIAN",65.00,0.9339
v1|398156473565|0,"Cymande - Cymande (Self Titled), LP 1972  JLS-3044 Jazz Afro-Rock Funk Soul ",265.00,0.9335
v1|287449858833|0,"Patrick Moraz, PATRICK MORAZ, self-titled, LP record, EX, Atlantic SD 18175",2.45,0.9324
v1|257579572625|0,Gwen McCrae - Melody Of Life 1979 CAT lp RARE OG 1st Modern Soul Boogie GRAIL,144.50,0.9324
v1|158068358208|0,The Replacements Let It Be vinyl Twin/Tone Records TTR-8441 orig. 1984 release,20.50,0.9322
v1|267721774211|0,Charles Mingus - Tijuana Moods - LP/Vinyl - RCA LSP-2533 -First Stereo Press VG,10.00,0.9296
v1|257614484782|0,Capitalist Casualties / Stack-split  7″ Vinyl –1996 1st press,20.00,0.9292
v1|257577867875|0,Gemini - Starfire 1992 lp RARE UNKNOWN Modern Soul Boogie Indie R&B GRAIL NM,113.61,0.9288
v1|298492172740|0,mariah carey emotions vinyl,24.99,0.9235
v1|327254032496|0,War PLATINUM JAZZ GATE FOLD INSERT 2xLP ORIGINAL Blue Note BN-LA690-J2,4.99,0.9219
v1|257614687807|0,Coroner - Punishment For Decadence- Vinyl 1988 Noise Records ,80.00,0.9192
v1|227423234958|0,TELEVISION ADVENTURE 1978 - UK K52072 - Red Vinyl- Near Mint,59.99,0.9178
v1|227422705505|0,Yusef Lateef - Jazz 'Round The World LP - ABC-Impulse - AS-56  VG/VG,10.00,0.9158
v1|257605496159|0,Keni Burke - Changes 1982 RCA lp RARE OG 1st Modern Soul Boogie Funk NM,18.00,0.9101
v1|257606498762|0,Gary Taylor - G.T. 1983 A&M lp RARE Modern Soul Boogie Electro Funk NM OG,6.00,0.9095
v1|137488576717|0,"Instant Funk, Instant Funk V, 1st Edition, Vinyl LP, Funk/Soul, EX, 1983",9.99,0.9083
v1|257606761778|0,Babyface - The Day 1996 Epic lp OG 1st RARE Neo Soul R&B Jam Funk Shrink,23.00,0.9082
v1|257595125514|0,4th of May - Pass It On 1982 Savoy lp RARE Gospel Modern Soul Boogie lp NM,6.00,0.9076
