ebay_id,ebay_title,price,keeper_score
v1|366586447875|0,John Coltrane Lush Life 1961 OG w/  Donald Byrd DG Mono RVG Prestige LP,36.00,0.9977
v1|366586457209|0,Miles Davis All Stars Walkin' 1957 OG DG Mono Hand Etched RVG Prestige LP,12.50,0.9934
v1|257655254337|0,Art Blakey Indestructible NM! 1st Shrink Mono NY Lee Morgan Blue Note lp,47.00,0.9933
v1|257653846556|0,Art Blakey A Night In Tunisia 1st Promo VG+ W63 Ear Jazz Messengers Blue Note lp,103.50,0.9914
v1|377389406632|0,MCCOY TYNER EXTENSIONS LP 1ST BLUE NOTE 1972 SPIRITUAL JAZZ VINYL ALICE COLTRANE,10.00,0.9900
v1|178375198445|0,The 3 Sounds Here We Come Blue Note 4088 Mono RVG NY Plastylite Ear VG-VG+/ EX,20.00,0.9883
v1|366577517907|0,LEE MORGAN Self Titled BLUE NOTE BLP-1557 LP NM mono japan reissue w/ insert o,15.50,0.9882
v1|257653675033|0,Lee Morgan Cornbread Superb NM-! 1st Mono NY Herbie Hancock Blue Note lp,89.00,0.9849
v1|178375202413|0,The 3 Sounds Hey There Blue Note 4102 Mono RVG Plastylite Ear NY VG+/EX,25.00,0.9849
v1|377389356486|0,JIMMY SMITH The Sermon! LP BLUE NOTE BST 4011 US 1962 NY Lee Morgan Art Blakey,6.50,0.9847
v1|257653646833|0,Larry Young Unity NM! Mono NY RVG Joe Henderson Elvin Jones Blue Note lp,117.50,0.9843
v1|147478753985|0,The Velvet Underground & Nico Self-Titled 1968 Verve Records V6-5008 Andy Warhol,30.00,0.9840
v1|257655503112|0,Wayne Shorter Adam’s Apple Clean NM- 1st RVG Liberty Herbie Hancock Blue Note lp,275.00,0.9838
v1|206462527541|0,Donald Byrd - Places And Spaces LP - Blue Note Shrink,10.00,0.9830
v1|318661014227|0,LEE MORGAN City Lights BLUE NOTE LP VG++ mono japan reissue w/ insert & obi o,28.88,0.9825
v1|147478907500|0,(RARE) CLEAR LIGHT PSYCH ROCK ELEKTRA STEREO 74011 ORIGINAL AUSTRALIA (HEAR!),44.99,0.9825
v1|800440111108|0,SONNY ROLLINS Self Titled BLUE NOTE BN-LA401-H2 2XLP gatefold o,8.00,0.9823
v1|257655241690|0,Art Blakey Free For All EX! Mono NY Curtis Fuller Wayne Shorter Blue Note lp,15.50,0.9821
v1|257657413576|0,Sonny Rollins Tour De Force EX! 1st W50 DG Prestige Lp Kenny Drew Max Roach,113.50,0.9815
v1|257653692315|0,Lee Morgan The Sidewinder NM! Orig 1964 Mono Ear Joe Henderson Blue Note lp,127.50,0.9800
v1|257655275444|0,Art Blakey Mosaic EX! Orig 1962 Mono NY Ear 4090 Freddie Hubbard Blue Note lp,9.99,0.9790
v1|198543116288|0,"DISPOSABLE HEROES OF HIPHOPRISY - TELEVISION THE DRUG OF THE NATION 12"" US 1991!",7.98,0.9789
v1|278241253596|0,John Coltrane Pharoah Sanders Live In Seattle ABC Impulse 2 LP 1971  1st Press.,20.00,0.9782
v1|407088977145|0,FRIJID PINK • Defrosted 1970 LP RARE Psych LISTEN VG++,20.50,0.9782
v1|178375188518|0,The 3 Sounds Feelin' Good Blue Note 4072 Mono Plastylite Ear RVG NY VG+/EX,25.00,0.9781
v1|366585979272|0,Max Roach & Clifford Brown Brown & Roach Incorporated 1955 DG Mono Emarcy LP,14.50,0.9781
v1|318661028838|0,BENNIE GREEN Soul Stirrin' BLUE NOTE LP mono w 63rd RVG ear deep groove o,30.76,0.9780
v1|336722394497|0,SPIRITUAL JAZZ LP Harold Land - A New Shade of Blue MAINSTREAM - RARE OG,4.99,0.9779
v1|366577516499|0,HORACE PARLAN Speakin' My Piece BLUE NOTE LP VG+ japan 1991 reissue w/ insert o,11.00,0.9778
v1|366577506742|0,PHAROAH SANDERS Deaf Dumb Blind ABC/IMPULSE LP gatefold o,14.50,0.9768
v1|257657414406|0,Sonny Rollins Saxophone Colossus EX! 1st DG W50 Prestige Lp Tommy Flanagan,1999.00,0.9765
v1|278241908200|0,Damascus-Caught In The Middle 1984 Christian/Psych/Rock-Private Press,19.99,0.9763
v1|366577517959|0,LEE MORGAN Indeed! BLUE NOTE LP mono UA o,26.00,0.9752
v1|366585990316|0,The Magnificent Thad Jones 1956 OG Lexington DG Mono RVG Ear 1527 Blue Note LP,191.50,0.9745
v1|398251046367|0,YUSEF LATEEF Suite 16 ATLANTIC Dope! |  Eastern Jazz | Psych | Samples  LP HEAR,9.99,0.9744
v1|800440147675|0,LEE MORGAN SEXTET Self Titled BLUE NOTE BLP-1541 LP VG++ mono japan w/ insert o,9.50,0.9723
v1|257655223301|0,Art Blakey at Jazz Corner Of The World EX! W63 Ear Vol 1 4054 Blue Note lp,9.99,0.9721
v1|257650261512|0,Electric Six ‎– FIRE XL Recordings ‎– XLLP 169 UK 2003 ORIGINAL PRESSING,200.00,0.9713
v1|257655469891|0,Donald Byrd at Half Note Cafe Superb NM! W63 Ear Vol 1 2 4060 4061 Blue Note lp,450.00,0.9698
v1|366574825669|0,Andwella People's People OG Psych on Dunhill,16.50,0.9684
v1|257655215241|0,Lou Donaldson Light Foot Plays EX! Rare 1st W63 DG Mono Blue Note lp,34.33,0.9668
v1|307102553326|0,RARE '69 og (CONNY PLANK) = CREEPY JOHN THOMAS =HEAVY COSMIC ACID BLUES PSYCH =,149.98,0.9665
v1|318661016053|0,LOU DONALDSON Blues Walk BLUE NOTE LP mono w 63rd RVG ear deep groove o,76.00,0.9659
v1|398251044833|0,ART BLAKEY And His Jazz Messengers IMPULSE A 7 | Mono | Orange |  LP HEAR,20.50,0.9640
v1|366585971656|0,Clifford Brown & Max Roach Study In Brown w/ Harold Land DG Mono Emarcy LP,9.50,0.9629
v1|188732361784|0,Modern Soul Boogie - Together Opposition - T.O.P - Funk Electro Disco Synth Rare,15.50,0.9620
v1|318664778103|0,SKID ROW - SLAVE TO THE GRIND LP - 1991 OG - UK & EUROPE - ATLANTIC - RARE!!,49.99,0.9614
v1|257655501970|0,Lou Donaldson Blues Walk VG++ 1st DG W63 Ear 1593 Stereo Blue Note lp,299.00,0.9610
v1|257655189374|0,Kenny Dorham Trompeta Toccata NM! 1st NY Ear Mono Joe Henderson Blue Note lp,86.00,0.9605
v1|318661014398|0,LEE MORGAN The Sidewinder BLUE NOTE LP stereo NY van gelder ear o,14.50,0.9603
v1|366577507769|0,MAX ROACH Max ARGO LP-623 LP mono o,8.00,0.9599
v1|257657775957|0,Red Garland Soul Junction Clean NM! 1st DG Prestige Lp John Coltrane Donald Byrd,499.00,0.9593
v1|236980204500|0,"Hello People-Fusion Philips 1968 psychedelic folk, jazz, rock",7.99,0.9572
v1|257655441880|0,Donald Byrd Fuego EX! READ! Stereo 1st DG W63 Ear Jackie McLean Blue Note lp,93.00,0.9560
v1|257654116511|0,Bennie Green Soul Stirrin’ Plays EX! 1st No R W63 Sonny Clark Blue Note lp,72.00,0.9557
v1|257654116511|0,Bennie Green Soul Stirrin’ Plays EX! 1st No R W63 Sonny Clark Blue Note lp,72.00,0.9557
v1|318660975891|0,MAX ROACH Drums Unlimited ATLANTIC LP mono gatefold o,8.00,0.9555
v1|257654133009|0,Andrew Hill Judgment 1st DG NY Ear Bobby Hutcherson Elvin Jones Blue Note lp,34.33,0.9553
v1|366576655160|0,The Mandrake Memorial S/T LP OG Psych on Poppy,9.99,0.9548
v1|366585975040|0,Donald Byrd Electric Byrd w/ Pepper Adams Duke Pearson Van Gelder  Blue Note LP,24.50,0.9544
v1|227457594678|0,Miles Davis All Stars  1st DG 7034 Milt Prestige lp RVG,9.99,0.9544
v1|147478997075|0,"(RARE) PSYCH ROCK THE UNDERDOGS PIG, MANN & EDWARDS PYE 109 NEW ZEALAND (HEAR!)",124.99,0.9535
v1|366576701525|0,Art Blakey Orgy in Rhythm LP 1958/59 Blue Note 1554,15.50,0.9532
v1|257653155372|0,Eric Dolphy – Out There US MONO RVG Vinyl LP VG+/EX New Jazz,9.50,0.9527
v1|287499138996|0,Art Hodes And His Blue Note Jazzmen – Dixieland Jubilee Blue Note 7006 DG Ear,29.00,0.9525
v1|257654068854|0,Jimmy Smith The Sermon EX! Rare! 1st No R W63 Lee Morgan Blue Note lp,63.00,0.9523
v1|257655118215|0,Andrew Hill Compulsion 1st NY Mono Freddie Hubbard Cecil McBee Blue Note lp,28.11,0.9514
v1|318660975543|0,SONNY ROLLINS Worktime PRESTIGE LP van gelder textured cover o,8.00,0.9510
