ebay_id,ebay_title,price,keeper_score
v1|287464427096|0,Sonny Rollins BLP 1542 Blue Note LEX DG RVG Ear,225.00,0.9947
v1|800353972851|0,CHARLES MINGUS Oh Yeah LP ATLANTIC 1377 MONO '62 Jazz BOOKER ERVIN ROLAND KIRK,10.50,0.9946
v1|117304578745|0,Donald Byrd Byrd In Hand Blue Note BLP 4019 MONO RVG,150.00,0.9884
v1|377351127393|0,RIFF RAFF S/T RARE PROG PSYCH LP UK ONLY RELEASE SUPER RARE,12.50,0.9876
v1|227431638842|0,Heart (Self-Titled) RARE Psych Rock OG on Look DEEP Groove NICE COPY! NM!,13.25,0.9856
v1|206412984707|0,"Max Roach – Jazz In 3/4 Time, LP w/ Sonny Rollins Kenny Dorham, Stereo EX/VG+",31.12,0.9845
v1|257625166321|0,Miles Davis Bags Groove Prestige Original Jazz Classics 2009 mono reissue,19.99,0.9830
v1|147439492070|0,Miles Davis  Miles Smiles Lp Mono columbia 2 eye Herbie Hancock Wayne Shorter G+,19.99,0.9794
v1|236942872989|0,Miles Davis - Volume 1 LP Blue Note  BST 81501 1985 DMM US VG+/VG+ Jazz Promo,15.00,0.9773
v1|800353972876|0,"The Miles Davis Quintet ""Relaxin’ With  1958 Prestige Press Vinyl LP (RVG) VG+",73.00,0.9763
v1|377351063188|0,B. B. BLUNDER WORKERS PLAYTIME ex BLOSSOM TOES UK IMPORT LP PSYCH PROG,9.99,0.9750
v1|267728912378|0,Charles Mingus - Mingus Three - LP/Vinyl - 1960 Reissue - Mono - JLP 1034,10.00,0.9728
v1|227431638841|0,The Bobby Doyle Introductory Offer Psych Rock OG Green Warner Bros NICE! NM!,9.99,0.9704
v1|267726909854|0,Jazz Hard Bop 45 ART BLAKEY & JAZZ MESSENGERS Moanin' Blue Note Mono RVG,17.00,0.9687
v1|318589786008|0,"The Velvet Underground & Nico 12"" Black Vinyl LP Verve V6-5008",85.00,0.9658
v1|377350888984|0,STEVE HILLAGE OPEN GONG SPACE ROCK AMBIENT PROG DIE-CUT COVER UK IMPORT,9.99,0.9630
v1|267726787324|0,ALIOTTA HAYNES JEREMIAH Lake Shore Drive BIG FOOT Vinyl LP Original Psych Rock,24.99,0.9623
v1|188649487509|0,RARE PSYCH Ultimate Spinage Behold & See Vinyl LP Album from 1968 VG+ Condition,225.00,0.9587
v1|398180000437|0,The VELVET UNDERGROUND & NICO Andy Warhol LP 1971 Garage Rock East Coast Press,675.00,0.9582
v1|198495105680|0,Mars Everywhere ‎Industrial Sabotage Space Rock Avantgarde   prog rock electr LP,67.00,0.9572
v1|178316386163|0,"Ramones End Of The Century 12"" Winchester pressing! Black Vinyl LP Record Sire",12.50,0.9567
v1|267729173744|0,The Paupers - Magic People Original 1967 Vinyl LP -Gate Fold - Psych Rock,40.00,0.9558
v1|327263396177|0,Spirit  Feedback  Rare (1972) Epic Records Classic Psych Rock Lp,2.99,0.9552
v1|206412984874|0,"John Coltrane & Ray Draper - Coltrane Draper; Jazz LP, UK Import  Excellent",52.00,0.9549
v1|206412605220|0,Montego Joe/Wild & Warm Prestige Mono Prestige 1965 Rare! Beautiful VG++,45.00,0.9518
v1|358801337181|0,Sonny Charles A&M 1214 Half As Much 1970 Release Funk Soul Vg,1.20,0.9504
v1|287464426524|0,Cliff Jordan John Gilmore BLP 1549 Blue Note 47W63 DG RVG Ear VG,925.00,0.9494
v1|267730983762|0,THELONIOUS MONK Volume 1 Blue Note LP Mono Import Art Blakey Milt Jackson ,29.99,0.9468
v1|147439472821|0,Miles Davis  Milestones Lp Mono columbia six eye John Coltrane Cannonball Adderl,99.99,0.9455
v1|227433985733|0,DONALD BYRD Stepping Into Tomorrow BLUE NOTE LP h,12.50,0.9452
v1|267728977017|0,Arion S/T LP Vinyl Rare Private Press PSYCH Lounge Rock 1984 Clean NM record,39.99,0.9416
v1|257628759020|0,SONIC YOUTH Goo LP Original 1990 Promotional Press J Mascis Thurston Kim Lee,189.99,0.9358
v1|398179787954|0,"Cymande - Cymande (Self Titled), LP 1972  JLS-3044 Jazz Afro-Rock Funk Soul ",265.00,0.9335
v1|287466044160|0,"Patrick Moraz, PATRICK MORAZ, self-titled, LP record, EX, Atlantic SD 18175",2.45,0.9324
v1|236940823341|0,Lou Reed Live Take No Prisoners Arista AL 8502 Velvet Underground Punk Lp,14.00,0.9318
v1|158089369936|0,Mariah Carey RAINBOW MC30  VERY RARE BLUE  2x LP - Out Of Print 🌈 Vinyl,124.99,0.9313
v1|377350900098|0,WIGWAM LUCKY GOLDEN STRIPES & STARPOSE PROG ROCK SPACE ROCK UK VIRGIN w POSTER,9.99,0.9303
v1|257625149807|0,Miles Davis Volume 1 Blue Note 75th Anniversary remastered mono 180g reissue,15.00,0.9278
v1|227431638839|0,Smokey and His Sister OG WHITE LABEL PROMO VERY RARE PSYCH! NM!,14.99,0.9274
v1|236942861139|0,Thorinshield S/T LP Philips PHS-600-251 US OG Psych Folk VG+,15.00,0.9266
v1|227434002772|0,Tears For Fears The Seeds Of Love Vinyl LP 1989 Vinyl VG+,21.50,0.9252
v1|147439297961|0,"Sewn Shut / Ulcerrhoea Split 7"" 2002 Sounds Of Betrayal Clear Grind VG+/VG+",22.00,0.9244
v1|298508393383|0,mariah carey emotions vinyl,24.99,0.9235
v1|327264525975|0,KOENIG  PONGRACZ  REIHN     DG Avant Garde  137011  M-,15.90,0.9221
v1|198500691451|0,The Age Of Television LP NM with Booklet + insert Milton Berle vinyl record Rare,9.95,0.9216
v1|318588305782|0,"CHI-LITES ARE YOU MY WOMAN 45 7"" VG+ US BRUNSWICK VINYL LISTEN SOUL FUNK",9.98,0.9208
v1|227434097474|0,TELEVISION ADVENTURE 1978 - UK K52072 - Red Vinyl- Near Mint,59.99,0.9178
