Title,Price,DiscogsID,MaxPrice
R.E.M. NO. 5 Document Vinyl Record LP REM IRS 42059 1987 VINYL EX,22.00,15
Lost and Found Forever Lasting Plastic Words LP 1968 OG Press VG+ Rare Promo,150.00,100
Hawkwind In Search Of Space Vinyl Record United Artists UAS-5567 Untested,29.99,18
Fugazi Repeater Lp 1rst,60.00,25
St John Green Flick Disc LP Record Psych Garage In Shrink,80.00,35
Syd Barrett – Opel - 1988 Capitol/Harvest C1-91206 +++SEE Description +++,39.99,20
Tones On Tail - The Album Pop,1984 VG+ Vinyl VG Cover PVC 8939,40.00,15
SYD BARRETT-,MINT- THE MADCAP LAUGHS LP- SHVL 765- DAVID GILMOUR/ROGER WATERS,258.00,100
ORIGINAL THE STOOGES LP-, VG++ TO MINT-  SELF TITLED- EKS 74051- IGGY POP -,388.00,125
Fairport Convention - Liege & Lief LP EXC UK Island 1st press folk psych,150.00,30
Ken McIntyre - Stone Blues VINYL LP New Jazz 8259 Mono DG RVG,1961 EXCELLENT,79.76,35
Another Green World by Eno Brian Japanese Import Polydor Pressing MPF 1153,94.99,30
Fairport Convention - What We Did On Our Holidays LP UK Island 1969 2nd,60.00,25
Dave Pike Quartet Pike's Peak 1962 1st Edition Epic 16025 Mono EXLLENT/VG DEMO,139.00,50
Dave Pike Bossa Nova Carnival 1962 1st Press New Jazz NJLP 8281 Good/VG Shrink,54.28,35
Ultimate Spinach ' Ultimate Spinach ' Vinyl LP Album US 1968 MGM ROCK SE-4518,20.00,15
The Zombies: Odessey And Oracle - Orig USA Vinyl LP w/ Alt Cover - Date TES 4013,74.98,25
NINA SIMONE~LITTLE GIRL BLUE LP,1959 ORIG PRESS DG JAZZ BETHLEHEM BCP 6028,75.00,40
"Egberto Gismonti ""Academia De Danças"" LP Gatefold Reissue EMI VG++",45.00,25
JOHN COLTRANE DON CHERRY THE AVANT GARDE MONO FIRST PRESSING ATLANTIC 1451,120.00,20
Saint Vitus – Born Too Late Vinyl LP SST Records 082 ORIGINAL Doom Metal RARE !!,225.00,125
FBC Worth A Fortune RARE 1982 VG+ Vinyl LP Record Psych/Prog Beautiful Copy!,129.99,60
ROCK - RUNAWAYS - QUEENS OF NOISE LP - MERCURY RECORDS ORIGINAL FIRST PRESSING,38.00,15
Cat Power You Are Free 12” 33RPM 120g Vinyl Record OLE-427-0 Matador 2003 Open,52.99,25
Dead Kennedys Fresh Fruit for Rotting Vegetables Original UK Pressing Vinyl LP,60.00,25
RARE Jazz Funk OG LP Record REUBEN WILSON Blue Mode BLUE NOTE Promo GRAIL VG+*,80.00,45
New York Dolls In Too Much Too Soon LP Mercury SRM-1-1001 1974,28.50,20
LUI COLLINS LP There'John Coltrane And Johnny Hartman A-40 Impulse!/Hispavox 1966 Spain Vinyl LP,VG,75.00
CHOCOLATE WATCH BAND No Way Out 1967 TOWER T-5096 Vinyl Lp Psych MONO Grail ,825.00,200
MOTOHARU YOSHIZAWA Inland Fish 1974 Japan Free Jazz Vinyl LP TRIO PAP-9020 EX,69.99,40
"Minimal Compact One,Statik Dancin',Vinyl 12"" Album BELGIUM CRAM 015 VG+",34.99,12
"Nico - The End - 1974 Island Records - ILPS 9311 - LP VG 12"" Vinyl",23.99,18
melvins prick amphetamine reptile records 1994,200.00,45
The Melvins Gluey Porch Treatments Vinyl LP Original Press,200.00,75
The Melvins Stoner Witch Original Vinyl LP Original Press,200.00,100
"REM R.E.M. Murmur 1983 IRS SP-70014 ""R"" Vinyl IRS Record LP EX/VG+ ",44.98,35
The Melvins Bullhead Record 1991 Original Vinyl LP Original Press,200.00,50
The Melvins Houdini LP 1993 Original Amphetamine Reptile Record Original Press,200.00,125
THE VELVET UNDERGROUND /VU /1984 Verve/Polygram Records,25.00,25
Dock Boggs S/T LP 1964 Folkways Original VG+/VG+,40.00,25
"Slits - The Peel Sessions,Strange Fruit, 1987, UK EP",62.00,20
DON CHERRY ETERNAL RHYTHM MPS STEREO LP,50.00,24
Carrie Williams Ensemble - I Feel So Good Today LP - Carrilene [CS 2001] SIGNED,89.99,100
Funkadelic - Maggot Brain LP - Westbound [WB 2007] 1971 ORIG,VG/VG+,199.99,100
"William Burroughs – Call Me Burroughs,1966 Vinyl, LP, Album, Mono",119.99,30
FUNKADELIC Self Titled LP WESTBOUND RECORDS W-216 US 1975 Psychedelic Funk CLEAN,150.35,100
ULTIMATE SPINACH BEHOLD & SEE ORG 1968 HIPPIE PSYCH 'MIND FLOWERS' SEALED!!,99.99,27
Ornette Coleman  Science Fiction  12” Vinyl LP VG PLUS CONDITION,29.99,22
Jandek – Follow Your Footsteps LP 1986 Corwood 0751 - Lo-Fi Experimental Noise,124.99,45
Velvet Underground With Lou Reed 1969 Live 2X LP Vinyl Record EX SRM-2-7504 1974,114.89,35
"George Russell And His Orchestra Featuring Bill Evans,  Jazz In The Space Age",90.00,120
Jules Blattner Back on the Road Again 1972 Vinyl Slash Records 1st Press,59.99,21
John Coltrane Expression 1967 Vinyl Impulse Records 1st Press,69.99,35
TERRY CALLIER I Just Can't Help Myself LP CA 50041 Vinyl VG Rare 1973,49.99,40
Bill Evans Trio How My Heart Sings 1967 Vinyl Riverside Records,69.99,45
West Coast Pop Art Experimental Band - Part One LP - Reprise 3-Tone A7,180.00,30
DAVID AXELROD “SONG OF INNOCENCE” **RARE JAZZ FUNK CAPITOL** LP,120.00,50
JOHN COLTRANE ALICE COLTRANE “COSMIC MUSIC” **FREE JAZZ IMPULSE 1972 PRESS** LP,50.00,25
DONNY HATHAWAY LIVE VINYL LP RECORD ALBUM,1972,59.99,24
"Pansy Division Deflowered Vinyl LP, Lookout Records #87 1994, NM",67.99,20
Steve Tibbetts Northern Songs Lp Vinyl Record 1982 VG++ Jazz Album,27.99,10
Steve Tibbetts YR 1980 Vinyl Frammis Records 1st Press Wrong Jacket,49.99,12
Steve Tibbetts Self Titled Lp Vinyl Record RARE VG+ 1977,54.99,30
NEW ORDER SUBSTANCE 2LP Vinyl QWEST RECORDS Original 1988 Good TESTED,69.95,30
Kate Bush The Dreaming Lp Vinyl Record 1982 Vg++ Alt Rock,29.99,15
Nina Simone In Concert 1972 Vinyl RCA Victor Records 1st Press,49.99,15
THE TREES “THE CHRIST TREE” **RARE XIAN PSYCH POMEGRANATE INSERT EX** LP,300.00,75
John Coltrane Kulu Se Mama 1966 Vinyl Impulse Records 1st Press Free Jazz,59.99,30
John Coltrane – Interstellar Space – Free Jazz Vinyl LP – OG Impulse! Quad,60.00,30
"The Adicts Sound of Music 1982 First Press Vinyl, Razor Records, UK Raz2",33.00,24
Ministry – The Land Of Rape And Honey RARE original promo vinyl LP '88,60.00,27
Brian Eno Ambient 4 On Land 1982 Vinyl LP Editions EG Records VG+/VG+ 1st Press,59.99,18
"PETER IVERS ""Nirvana Peter"" Rare New Wave Vinyl 33 RPM Album LP Record VG++ V119",49.99,30
The Sylvers S/T 1972 Vinyl Pride Records 1st Press,49.99,20
The Suicide Commandos - Make A Record 1978 Blank Records Pressing VG+/VG,43.00,30
Om Advaitic Songs 2xLP Vinyl by Cisneros Albini Near Mint,45.00,22
Nemessio 1977 RARE Colombia Funk Tropicale Sonolux VG+ Vinyl Record LP,300.00,80
The Elite Crew - Timeless Groove,60.00,30
RYUICHI SAKAMOTO Coda Sealed Japanese LP Vinyl 1983 London L25N1016 Obi YMO,99.99,21
The Larry Young Trio Testifying Vinyl,125.00,60
"Bad Brains~ Rock For Light, Vinyl PVC 8917, 1983 1st US Pressing VG+/EX Cond",44.99,30
"Dr. John, The Night Tripper* - Gris-Gris,LP,Very Good Plus,VG+ - 400450625",45.00,30
